Class Name,Created By,Created Date,Last Modified By,Last Modified Date,Type,Purpose,How It's Used
EmailTemplatePlaceholderProcessorTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,"Unit test for EmailTemplatePlaceholderProcessor covering placeholder replacement, merge-field/placeholder removal, empty markup cleanup in tables, and product-instruction injection.",Run automatically by the Apex test framework (@isTest).
ExceptionLogger,Liam Jeong,2026-07-09,Liam Jeong,2026-07-10,impl,"General-purpose, never-throw telemetry publisher that fire-and-forget publishes domain `_Exception__e` platform events (e.g. Pricing_Exception__e) for durable logging via a subscriber Flow into Exception_Log__c.",Called from catch blocks throughout pricing/domain Apex hooks via ExceptionLogger.safePublish(event) so a swallowed exception is still logged without failing the transaction.
ExceptionLoggerTest,Liam Jeong,2026-07-09,Liam Jeong,2026-07-10,test,Unit test verifying ExceptionLogger.safePublish is a no-op for null events and that valid Pricing_Exception__e events are delivered to the subscriber Flow and persisted as Exception_Log__c rows.,Run automatically by the Apex test framework (@isTest).
FieldPopulatedCheck,Ben Kozlowski,2026-04-16,Liam Jeong,2026-06-09,impl,DEPRECATED (superseded by OrderSubmissionValidator per SC-3366) invocable Flow action that dynamically checks via Schema whether a given field on a given record is populated and returns the value as text.,Formerly invoked as a Flow Action (@InvocableMethod) in the Order Submission Check flow; retained only for obsolete flow versions and should not be used in new work.
FindRecordsInCollection,Joe Martinez,2025-10-06,Joe Martinez,2025-10-06,impl,"Generic invocable Flow utility that filters a collection of SObjects for records whose given field equals a target value, returning matches as a list and (if exactly one) also as a single record.",Invoked from Salesforce Flow as the 'Find Records in Collection [USF Collection Processor]' action (@InvocableMethod).
FindRecordsInCollectionTest,Joe Martinez,2025-10-06,Joe Martinez,2025-10-06,test,"Unit test for FindRecordsInCollection covering single-match, multiple-match, no-match, and bulk (multi-request) scenarios.",Run automatically by the Apex test framework (@isTest).
FlexPanelBulkUpdateController,Joe Martinez,2025-09-10,Joe Martinez,2025-09-10,impl,"Controller supporting bulk update of Start/End Date and Subscription Term across selected QuoteLineItems from an OmniScript/FlexCard panel, with quote-status validation and a Quote_Line_Update__e platform event fired on success.","Invoked from LWC/Visualforce via @AuraEnabled/@RemoteAction bulkUpdateDatesRemote, and from OmniScript/FlexCard via the generic invokeMethod(methodName, input, output, options) dispatcher."
FlexPanelBulkUpdateControllerTest,Joe Martinez,2025-09-10,Joe Martinez,2025-09-10,test,"Unit test for FlexPanelBulkUpdateController covering DATE_AND_TERM and DATE_RANGE bulk update modes, no-selection error handling, line-ID retrieval, quote-status validation, and helper method getIntegerValue.",Run automatically by the Apex test framework (@isTest).
ForgotPasswordController,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,impl,Visualforce page controller exposing Experience Cloud (Site) forgot-password functionality to reset a community user's password via username.,Bound to a Visualforce 'Forgot Password' page (Page.ForgotPasswordConfirm) as its standard controller.
ForgotPasswordControllerTest,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,test,Unit test for ForgotPasswordController verifying forgotPassword() behavior for a non-existent test username.,Run automatically by the Apex test framework (@isTest(SeeAllData=true)); Unit test for ForgotPasswordController.
Fortra_BulkPriceUpdateBatch,Marc DeBrey,2026-01-29,Nir Kailash,2026-06-29,impl,"Batch Apex that bulk-creates/updates multi-currency PricebookEntries for products (filtered by Solution Category or explicit product Ids) across selected pricebooks using Fortra_CurrencyConversionService formulas, then emails a completion summary.","Started via Database.executeBatch from Fortra_BulkPriceUpdateInvocable.startBulkPriceUpdate, which is invoked by a Screen Flow (Fortra_Bulk_Price_Update_Flow)."
Fortra_BulkPriceUpdateBatchTest,Marc DeBrey,2026-01-29,Nir Kailash,2026-06-26,test,"Unit test class covering Fortra_BulkPriceUpdateBatch, Fortra_BulkPriceUpdateInvocable, and Fortra_CurrencyConversionService (formula parsing, invocable validation, batch PBE creation/update, preview mode).",Run automatically by the Apex test runner (@IsTest); not invoked by production code.
Fortra_BulkPriceUpdateInvocable,Marc DeBrey,2026-01-29,Marc DeBrey,2026-05-01,impl,"Invocable/Aura bridge that validates Solution Category and Pricebook inputs, computes per-pricebook PBE estimates/warnings, and starts (or previews) the Fortra_BulkPriceUpdateBatch job.","Its @InvocableMethod startBulkPriceUpdate is called from Fortra_Bulk_Price_Update_Flow (Screen Flow); its @AuraEnabled methods (getSolutionCategories, getProductPreview, checkBatchStatus) back the same Flow's LWC screens."
Fortra_CurrencyConversionService,Marc DeBrey,2026-01-29,Nir Kailash,2026-06-26,impl,Reusable service for converting a USD price into other currencies using cached Currency_Conversion_Formula__mdt custom metadata (rate or arithmetic formula string).,Called as a static utility from Fortra_BulkPriceUpdateBatch and other Flow-based single-product currency price update logic.
FortraBillingEventItemTriggerHandler,German Wren,2026-03-06,German Wren,2026-06-16,impl,"Publishes a Billing_Event_Item_Released_WD__e platform event to notify Workday when a pse__Billing_Event_Item__c (Certinia billing event) transitions into 'Pending' Workday sync status, mapping Timecard vs Milestone billing categories to WD contract line usage-based billing.",Called from the pse__Billing_Event_Item__c trigger's after insert/update handler (static handleAfterInsertOrUpdate method with a recursion guard).
FortraDemoDataFactory,Liam Jeong,2026-04-18,Liam Jeong,2026-07-10,impl,"Generates and cleans up a full idempotent demo dataset (accounts, places, products, pricebook entries, opportunities, quotes, hardware, line groups/items) across four Fortra quote scenarios for sandbox demos.",Invoked manually via Execute Anonymous or a dev console call to FortraDemoDataFactory.run() / .cleanup(); not wired to any trigger or Flow.
GsLicensingController,Keith Irwin,2026-04-22,Keith Irwin,2026-04-22,impl,"Sends an Order's billing/shipping account and customer info to the Globalscape licensing API via HTTP callout to generate serial numbers/licenses, parsing the XML/JSON-ish service response for success/error.",@AuraEnabled processOrder(orderId) method backs an LWC Quick Action button on the Order record page.
GsLicensingControllerTest,Keith Irwin,2026-04-22,Keith Irwin,2026-04-22,test,"Unit test for GsLicensingController covering successful callout, invalid order Id, invalid/failed service responses, and forced callout errors using an HttpCalloutMock.",Run automatically by the Apex test runner (@IsTest); exercises GsLicensingController.processOrder via mocked HTTP callouts.
HardwareAttributePricingPrehook,Marc DeBrey,2026-01-29,Liam Jeong,2026-07-09,impl,"Revenue Cloud pricing prehook (v3.0) that computes hardware-based price multipliers for Power products using pGroup, System Type, and Users Per Partition, applying an override priority of Product Configurator > Hardware__c defaults > System defaults, and stamps pricing/audit attributes back onto the context.","Executes as a RevSignaling.SignalingApexProcessor step registered in the Revenue Cloud pricing procedure waterfall (after List Price lookup, before Regional/Partner Pricing)."
HardwareAttributePricingPrehookTest,Marc DeBrey,2026-01-29,Liam Jeong,2026-07-08,test,"Unit test suite for HardwareAttributePricingPrehook covering pGroup/user-tier/system-type multiplier lookups, combined pricing math, override-priority resolution (Configurator/Hardware/System), tag parsing helpers, and JSON audit-trail serialization.",Run automatically by the Apex test runner (@isTest); exercises HardwareAttributePricingPrehook's @TestVisible methods directly since execute() cannot be unit-tested (managed RevSignaling type).
HardwareGroupController,Marc DeBrey,2026-01-31,Liam Jeong,2026-06-29,impl,"LWC controller for Revenue Cloud hardware group management on a Quote: resolving the Quote's Account, listing/creating/updating QuoteLineGroup hardware groups, searching and creating Hardware__c records (with auto-created Partition__c for iSeries/Cross Platform), and exposing dependent picklist options.",@AuraEnabled methods invoked by the hardwareGroupManager LWC component embedded on the Quote page.
HardwareGroupControllerTest,Marc DeBrey,2026-01-31,Liam Jeong,2026-06-18,test,"Unit test suite for HardwareGroupController covering group CRUD, hardware search/creation (including partition auto-creation), duplicate-name validation, dependent picklist retrieval, and the SC-3423 fix for large Hardware lists.",Run automatically by the Apex test runner (@isTest); exercises HardwareGroupController's @AuraEnabled methods directly.
HardwareManagementController,Marc DeBrey,2026-01-31,Marc DeBrey,2026-02-10,impl,"LWC controller for the Transaction Line Editor's hardware management flow: retrieving quote lines needing hardware, dynamically-field-safe searching of Hardware__c, linking hardware to quote lines, and flagging/clearing 'requires new hardware' state.",@AuraEnabled methods invoked from an LWC used in the Transaction Line Editor / Quote line hardware assignment UI.
HardwareManagementControllerTest,Marc DeBrey,2026-01-31,Marc DeBrey,2026-01-31,test,"Unit test class for HardwareManagementController covering quote line retrieval, hardware search (empty-result case), linking hardware to lines, and flagging/clearing hardware requirement flags.",Run automatically by the Apex test runner (@isTest); exercises HardwareManagementController's @AuraEnabled methods directly.
HardwarePreConfigInvocable,Marc DeBrey,2026-01-31,Marc DeBrey,2026-01-31,impl,"Retrieves Hardware__c attribute defaults (pGroup normalized to AttributeDefinition format, Server Type, Users Per Partition) for display before/during Product Configurator use, and checks whether a product is Tech-catalog/Power-category eligible for hardware pricing.","@InvocableMethod getHardwareAttributes is called from a Flow; @AuraEnabled methods (getHardwareAttributesForLWC/ForQuote, isProductHardwarePricingApplicable, getProductApplicableAttributes) are called from LWCs during product configuration."
HardwarePreConfigInvocableTest,Marc DeBrey,2026-01-31,Marc DeBrey,2026-01-31,test,"Unit test suite for HardwarePreConfigInvocable covering hardware attribute resolution by hardwareId/quoteLineGroupId/quoteId, the P05→P5 pGroup normalization, no-hardware/null-input handling, and JSON context structure.",Run automatically by the Apex test runner (@isTest); exercises HardwarePreConfigInvocable's invocable and @AuraEnabled methods directly.
HardwarePricingCalculator,Liam Jeong,2026-07-07,Liam Jeong,2026-07-10,impl,"Computes hardware-adjusted pricing (adjustedPrice = listPrice x pGroupMultiplier x userTierMultiplier x (1 - systemTypeDiscount/100)) by reading three lookup tables (pGroup multipliers, user-count-tier bands, system-type discounts) from the admin-editable Hardware_Attribute_Pricing__mdt custom metadata.","Pure static service extracted from HardwareAttributePricingPrehook, called via calculate()/getPGroupMultiplier()/getUserTierMultiplier()/getSystemTypeDiscount() by other Apex (pricing prehooks) and unit-tested directly."
HardwarePricingCalculatorTest,Liam Jeong,2026-07-07,Liam Jeong,2026-07-10,test,"Unit test for HardwarePricingCalculator, pinning MDT-driven lookup math against a canonical injected seed table (and the deployed MDT) to prove it reproduces prior hardcoded pricing for every tier/boundary.",Run automatically by the Apex test framework (@isTest); not invoked by runtime code.
HardwareProductEligibilityService,Marc DeBrey,2026-01-31,Marc DeBrey,2026-02-17,impl,"Filters active Product2 records for compatibility with a given Hardware__c record using processor-minimum, required/excluded feature-code, and bundle rules to build a list of eligible products with reasons.",Invoked via its static filterProducts(hardwareId) entry point by HardwareProductSelectorController (an LWC-facing Apex controller) as part of the hardware-first product-selection workflow.
HardwareProductEligibilityServiceTest,Marc DeBrey,2026-01-31,Marc DeBrey,2026-02-17,test,"Unit test for HardwareProductEligibilityService covering processor-count, required/excluded feature-code, bundle-handling, and query-filtering eligibility scenarios.",Run automatically by the Apex test framework (@isTest); not invoked by runtime code.
HardwareProductSelectorController,Marc DeBrey,2026-01-31,Marc DeBrey,2026-02-17,impl,Apex controller backing the hardwareProductSelector LWC that exposes hardware-eligible products and adds selected products as QuoteLineItems to a Quote.,"Called from the Lightning Web Component via @AuraEnabled methods getEligibleProducts(hardwareId) (cacheable wire) and addProductsToQuote(quoteId, productIds, hardwareId) (imperative Apex call)."
HardwareProductSelectorControllerTest,Marc DeBrey,2026-01-31,Marc DeBrey,2026-02-17,test,"Unit test for HardwareProductSelectorController verifying eligible-product retrieval and quote-line-item creation, including error paths for invalid IDs, empty product lists, and missing pricebook entries.",Run automatically by the Apex test framework (@isTest); not invoked by runtime code.
IBrandEmailHandler,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,"Defines the contract each brand-specific handler must implement for resolving license-key email recipients, template selection, merge fields, validation, and sending in the License Key Generator (LKG) email flow.",Implemented by brand-specific email handler classes and invoked polymorphically by LKG orchestration code that dispatches license-key emails per brand.
IEmailSender,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,Abstraction over Salesforce email sending so production code can be decoupled from Messaging.sendEmail for testability.,Implemented by a concrete email-sending service class and invoked (or mocked in tests) by IBrandEmailHandler implementations sending license-key emails.
IEmailSenderResult,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,"Wrapper interface exposing isSuccess()/getErrorMessage() for an email send outcome, avoiding direct use of the non-mockable Messaging.SendEmailResult system class.",Returned by IEmailSender implementations and consumed by callers/tests that need to assert send success or failure without stubbing Salesforce system classes.
ILkgAutomatePointsBuilder,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,Defines the contract for building an 'automate points' string from an AutomatePointsBuilderContext for License Key Generator (LKG) request construction.,Implemented by concrete builder classes and invoked by LKG request-building code (e.g. LkgRequestBuilderBase subclasses) when assembling license key requests.
ILkgHardwareKeyParamBuilder,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,Defines the contract for enriching a license-key KeyData payload with hardware-derived key parameters sourced from Asset data in the License Key Generator (LKG) pipeline.,Implemented by hardware-specific key-param builder classes and called by LkgMapperHardwareBase/LkgRequestBuilderBase to populate KeyData.addKeyDataFromAsset().
ILkgMapper,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,Defines the contract for mapping a raw inbound payload string into a LkgRequestBuilderBase.KeyData object in the License Key Generator (LKG) pipeline.,Implemented by payload-specific mapper classes and invoked by LKG processing code (likely LkgProcessor) to translate incoming request payloads into KeyData.
ILkgRecordCreator,Keith Irwin,2026-03-11,Keith Irwin,2026-04-03,impl,Defines the contract for creating and inserting License_Key__c records and their Attachment from a KeyData object in the License Key Generator (LKG) pipeline.,Implemented by a concrete record-creator class and invoked by LKG orchestration code (e.g. LkgProcessor) after a license key request is built/processed.
ILkgRequestBuilder,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,Defines the contract for building a LkgProcessor.LicenseKeyRequest from KeyData in the License Key Generator (LKG) pipeline.,Implemented by concrete request-builder classes (e.g. subclasses of LkgRequestBuilderBase) and invoked by LkgProcessor to construct outbound license key requests.
InitializeChecklistAction,Marc DeBrey,2026-02-02,Marc DeBrey,2026-02-02,impl,Quick Action wrapper that manually initializes the Operations Checklist (Quote_Checklist_Item__c records) for one or more Opportunities via ChecklistInitializationService.,"Invoked as an @InvocableMethod from a Quick Action button on the Opportunity (label 'Initialize Operations Checklist (Button)', category 'Operations Checklist')."
InitializeChecklistActionTest,Marc DeBrey,2026-02-02,Marc DeBrey,2026-02-02,test,Unit test for InitializeChecklistAction verifying checklist items are created for single and multiple Opportunities via the quick action.,Run automatically by the Apex test framework (@isTest); not invoked by runtime code.
LicenseKeyEmailHandler,Keith Irwin,2026-03-11,Ben Kozlowski,2026-05-22,impl,"Queries License_Key__c records by Id, delegates to a brand-specific handler (via BrandEmailHandlerFactory) to validate and send license key notification emails, then writes back Email_Status__c/error fields and resets Send_Email__c.","Invoked from the License_Key__c trigger's after-update logic (ProcessLicenseKeyEmailFromIds), passing Ids of records whose Send_Email__c was checked."
LicenseKeyEmailHandlerTest,Keith Irwin,2026-03-11,Keith Irwin,2026-04-03,test,Unit test for LicenseKeyEmailHandler.,"@isTest class exercising ProcessLicenseKeyEmailFromIds/ProcessLicenseKeyEmail success, failure, empty-list, factory-pattern, and exception-handling paths with a MockEmailSender."
LicenseKeyEmailTestDataFactory,Keith Irwin,2026-03-11,Ben Kozlowski,2026-05-22,impl,"Centralized @isTest data-factory that builds Accounts, Contacts, Hardware__c, EmailTemplate, and License_Key__c fixtures for the License Key email test suite.","Called from @TestSetup/@isTest methods in LicenseKeyEmailHandlerTest, LicenseKeyTriggerTest, LicenseKeyTemplateResolverTest and related brand-handler test classes to set up common test data."
LicenseKeyNotificationPublisher,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,Requeries updated License_Key__c records and publishes License_Key_Email_Event__e platform events so UI components can receive real-time email-status notifications.,Called by LicenseKeyEmailHandler.ProcessLicenseKeyEmailFromIds after license key records are updated with email results; consumed elsewhere by an LWC/streaming API subscriber.
LicenseKeyNotificationPublisherTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,Unit test for LicenseKeyNotificationPublisher.,"@IsTest class verifying publishEmailNotifications handles single, bulk (50 records), empty-list, and mixed-status License_Key__c inputs without error."
LicenseKeyTemplateResolver,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,"Resolves the correct email template developer name for a License_Key__c based on its LKG_Product_Identifier_Name__c and Key_Type__c, backed by the LKG_Product__mdt custom metadata type with an in-memory cache.","Called by brand-specific email handlers (e.g. Clearswift handler) when composing/sending the license key notification email; getTemplateName is the main entry point, with hasTemplateConfig/clearCache exposed as helpers."
LicenseKeyTemplateResolverTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,Unit test for LicenseKeyTemplateResolver.,"@isTest class covering template resolution for Generic/Specific-Temporary/Permanent/Subscription key types, null/blank/invalid inputs, caching, and clearCache behavior."
LicenseKeyTriggerTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,Unit test for the LicenseKeyTrigger (License_Key__c after-update trigger) that delegates to LicenseKeyEmailHandler.ProcessLicenseKeyEmailFromIds.,@isTest class that updates License_Key__c.Send_Email__c and verifies the trigger fires (or does not fire) email processing and correctly passes record Ids to the handler.
LightningForgotPasswordController,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,impl,Experience Cloud (Community) controller that handles the 'forgot password' flow via Site.forgotPassword and site experience-Id setup.,@AuraEnabled methods called from the Lightning/Aura Forgot Password login-flow component on a Salesforce Experience Cloud site.
LightningForgotPasswordControllerTest,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,test,Unit test for LightningForgotPasswordController.,"@IsTest(SeeAllData=true) class verifying forgotPassword handles invalid usernames and null URLs, and that the controller can be instantiated."
LightningLoginFormController,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,impl,"Experience Cloud login-form controller exposing username/password login, self-registration/forgot-password URL lookups, and auth configuration for a community site.",@AuraEnabled methods invoked from the Lightning Login Form Aura/LWC component on an Experience Cloud site.
LightningLoginFormControllerTest,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,test,Unit test for LightningLoginFormController.,"@IsTest(SeeAllData=true) class verifying login, auth-config flags (username/password enabled, self-registration enabled), and URL getters."
LightningSelfRegisterController,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,impl,"Experience Cloud self-registration controller that creates a portal User via Site.createPortalUser, validates passwords, applies extra field-set values, and logs the new user in.","@AuraEnabled methods (selfRegister, getExtraFields, setExperienceId) invoked from the Lightning Self-Registration component on an Experience Cloud site."
LightningSelfRegisterControllerTest,Joe Martinez,2025-11-20,Joe Martinez,2025-11-21,test,Unit test for LightningSelfRegisterController.,"@IsTest(SeeAllData=true) class exercising selfRegister validation paths (missing lastname/email, password mismatch), extra-fields handling, and successful self-registration."
ListPriceStampCalculator,Liam Jeong,2026-07-07,Liam Jeong,2026-07-10,impl,"Pure, SOQL/DML-free RCA pricing helper that computes which ListPrice value and stamped partner/manual discount percents should be restamped onto attribute-tier or derived-maintenance quote lines.",Called by RCA pricing prehooks/posthooks (from context line maps or QuoteLineItem records) during pricing procedure execution to determine ListPrice restamps for derived maintenance and attribute-tier lines.
ListPriceStampCalculatorTest,Liam Jeong,2026-07-07,Liam Jeong,2026-07-10,test,Unit test for ListPriceStampCalculator.,"@IsTest class verifying resolveStampedPartnerPercent, resolveStampedManualPercent, resolveAttributeTierListPrice, and resolveDerivedMaintenanceListPrice logic against constructed context-line maps and QuoteLineItem JSON fixtures."
LkgAutomatePointsBuilderFactory,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,impl,Factory that maps an Automate/BPA product-code + tier + version-bucket key (e.g. 'AUT_A_GTE11') to the correct License Key Generator (LKG) points-builder implementation for computing Automate license points.,Invoked by LkgHardwareAutomateKeyParamBuilder.getPoints() as a static utility during LKG hardware-key request building; returns AutomateDefaultPointsBuilder when productCode/tier are blank.
LkgAutomatePointsBuilderFactoryTest,Ben Kozlowski,2026-05-22,Ben Kozlowski,2026-05-22,test,Unit test for LkgAutomatePointsBuilderFactory verifying it returns the correct tier/legacy/default points builder for each productCode+tier+version combination.,Unit test for LkgAutomatePointsBuilderFactory.
LkgCcssFileBuilder,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Builds .HSL license-key file content for CCSS silo license keys, extending LkgISeriesFileBuilder with a CCSS-specific key row that adds a SYSTEM_NAME= line and derives LICENSE_FMT from license code length.",Invoked as the file-builder implementation for the CCSS silo in the LKG license-key file generation pipeline (e.g. from a factory selecting builders by silo).
LkgCcssFileBuilderTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgCcssFileBuilder verifying FILE_DATE header, SYSTEM_NAME line, LICENSE_FMT derivation by key length, hardware-key grouping, and PRODUCT/PRODUCT_CODE output.",Unit test for LkgCcssFileBuilder.
LkgFileGenerateResult,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,Simple DTO carrying a success flag and message returned from an LKG license-key file generation operation.,Constructed and returned by LKG file-generation controllers/services (e.g. Visualforce/LWC controller actions) to report outcome to the caller/UI.
LkgFileGenerateResultTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgFileGenerateResult verifying its constructor correctly sets the success and message fields, including null message handling.",Unit test for LkgFileGenerateResult.
LkgHardwareAssetEnrichmentService,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Enriches LKG hardware AssetData with product metadata (via LKG_Intersect__mdt matching on ProductCode|AssetName) and aggregated system quantity/action attributes, producing a flattened attributes map for license key generation.",Invoked as a static service (enrich method) by upstream LKG hardware key-building logic to hydrate an AssetData object with productData and attributes before key/request construction.
LkgHardwareAssetEnrichmentServiceTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgHardwareAssetEnrichmentService covering null-guard paths, asset-not-found, hardware mismatch, missing Product2, no intersect match, and the success enrichment path.",Unit test for LkgHardwareAssetEnrichmentService.
LkgHardwareAutomateKeyParamBuilder,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Implements ILkgHardwareKeyParamBuilder for the Automate silo, populating AutomateKeyData (hardwareId, modification, points) from AssetData attributes by building an AutomatePointsBuilderContext and computing license points via the points-builder factory.",Invoked by LkgHardwareKeyService.addKeyDataFromAsset via LkgHardwareKeyParamBuilderFactory when the resolved silo is 'automate'.
LkgHardwareAutomateKeyParamBuilderTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgHardwareAutomateKeyParamBuilder covering null-guards, wrong KeyData type, HardwareId/modification mapping, points calculation for GTE11/LT11 tiers, null attributes, and bracketed/unbracketed action-string parsing.",Unit test for LkgHardwareAutomateKeyParamBuilder.
LkgHardwareKeyDataFactory,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,Factory that instantiates the correct LkgRequestBuilderBase.KeyData subtype (currently only AutomateKeyData) based on the AssetData's productData.silo value.,Invoked by LKG hardware key/request-building code to obtain a silo-specific KeyData instance before populating it via LkgHardwareKeyService/param builders.
LkgHardwareKeyDataFactoryTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgHardwareKeyDataFactory verifying it returns null for null/blank inputs and unknown silos, and returns AutomateKeyData for the 'automate' silo.",Unit test for LkgHardwareKeyDataFactory.
LkgHardwareKeyParamBuilderFactory,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Factory returning the silo-specific ILkgHardwareKeyParamBuilder implementation (currently LkgHardwareAutomateKeyParamBuilder for 'automate', null otherwise) based on a silo string.",Invoked by LkgHardwareKeyService.addKeyDataFromAsset to resolve which param builder to apply for a given AssetData's silo.
LkgHardwareKeyParamBuilderFactoryTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,Unit test for LkgHardwareKeyParamBuilderFactory verifying null/blank/unknown silo returns null and 'automate' (case-insensitive) returns LkgHardwareAutomateKeyParamBuilder.,Unit test for LkgHardwareKeyParamBuilderFactory.
LkgHardwareKeyService,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Orchestrates mapping of common AssetData fields (silo, subSilo, hardwareId, serialNumber, product code/names) onto a KeyData instance, then delegates to a silo-specific ILkgHardwareKeyParamBuilder for silo-specific field population, as part of LKG license-key request construction.",Invoked as a static entry point (addKeyDataFromAsset) by upstream LKG hardware key/license-file generation logic to fully populate a KeyData object from an enriched AssetData.
LkgHardwareKeyServiceTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgHardwareKeyService verifying null-guards for assetData/productData/keyData and that common fields (Silo, ProductCode, etc.) are set correctly for both known ('automate') and unknown silos.",Unit test for LkgHardwareKeyService.
LkgHttpCalloutMock,Keith Irwin,2026-03-11,Ben Kozlowski,2026-05-22,impl,"Test HTTP callout mock for the LKG key-generation API, returning canned XML/JSON key responses keyed off the request body's silo prefix (sgavx, clearswift, default).","Used via Test.setMock(HttpCalloutMock.class, ...) inside @isTest methods that exercise LkgRequestController callouts to 'callout:keygen_api'."
LkgISeriesFileBuilder,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Abstract base class that builds the content of an iSeries (IBM i) .HSL license key file, grouping License_Key__c records by hardware key and delegating per-row formatting to subclasses.","Extended by silo-specific builders (e.g. LkgRobotFileBuilder, LkgCcssFileBuilder) which are instantiated and invoked via buildFile() from LkgLicenseKeysFileService."
LkgISeriesFileBuilderTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgISeriesFileBuilder, covering safe(), buildHardwareKey(), buildGroupHeader(), resolveLicenseType(), and resolveExpires() static helpers.",Unit test for LkgISeriesFileBuilder.
LkgKeyGenResponse,Keith Irwin,2026-03-11,Ben Kozlowski,2026-05-22,impl,"Simple @AuraEnabled DTO representing the outcome of a license key generation request (success flag, message, generated key, and License Key record Id), with static success()/error() factory helpers.",Returned from @AuraEnabled controller methods (e.g. LkgRequestController) to an LWC handling license key generation UI.
LkgKeyGenResponseTest,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,test,Unit test verifying LkgKeyGenResponse's default constructor and its success()/error() static factory methods.,Unit test for LkgKeyGenResponse.
LkgKeyGenResult,Keith Irwin,2026-03-11,Keith Irwin,2026-03-11,impl,"Immutable value object holding the outcome of a key-gen callout (license key, serial number, request params, response message) and an applyTo() method to copy those values onto a KeyData instance.","Constructed by key-generation request/response processing logic (e.g. LkgRequestController or a request builder) after parsing the keygen API response, then applied to a LkgRequestBuilderBase.KeyData object."
LkgLicenseKeysFileService,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,impl,"Orchestrates generation of Robot/CCSS iSeries license key files: validates input, fetches License_Key__c records, selects the correct file builder and email template by silo, attaches the generated .HSL file to the Account as a ContentVersion, and optionally emails it to contacts.",Invoked as a static service method (generateFile) from an LWC/Aura controller or Apex controller handling the 'Generate License Key File' UI action on an Account.
LkgLicenseKeysFileServiceTest,Keith Irwin,2026-06-15,Keith Irwin,2026-06-15,test,"Unit test for LkgLicenseKeysFileService covering validation failures (missing keys/account/contacts), silo mismatch, unsupported silo, and successful file generation with/without email for Robot and CCSS silos.",Unit test for LkgLicenseKeysFileService.
LkgMapperAccessAuth,Keith Irwin,2026-03-11,Keith Irwin,2026-04-03,impl,"Silo-specific mapper that maps a UI payload's AccessAuth product attributes (Hardware Id, Modification, Number of Users) onto an AccessAuthKeyData request object for license key generation.","Instantiated by LkgRequestController (or similar) when the product silo is 'accessauth', via mapPayloadToKeyData()."
LkgMapperAccessAuthTest,Keith Irwin,2026-03-11,Ben Kozlowski,2026-05-22,test,"Unit test verifying LkgMapperAccessAuth correctly maps HardwareId, Modification, Release, and NumberOfUsers from a UI payload into AccessAuthKeyData.",Unit test for LkgMapperAccessAuth.
